Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2023-01-02 12:34:43;"Midday Workout";"Lateral Raise (Dumbbell)";1;2.5;kg;10;;;;0;"";"";29m
2023-01-02 12:34:43;"Midday Workout";"Lateral Raise (Dumbbell)";2;2.5;kg;10;;;;0;;;29m
2023-01-02 12:34:43;"Midday Workout";"Lateral Raise (Dumbbell)";3;2.5;kg;10;;;;0;;;29m
2023-01-02 12:34:43;"Midday Workout";"Lateral Raise (Dumbbell)";4;2.5;kg;10;;;;0;;;29m
2023-01-02 12:34:43;"Midday Workout";"Lateral Raise (Dumbbell)";5;2.5;kg;10;;;;0;;;29m
2023-01-02 12:34:43;"Midday Workout";"Lateral Raise (Dumbbell)";6;2.5;kg;10;;;;0;;;29m
2023-01-02 12:34:43;"Midday Workout";"Lateral Raise (Dumbbell)";7;2.5;kg;10;;;;0;;;29m
2023-01-02 12:34:43;"Midday Workout";"Lateral Raise (Dumbbell)";8;2.5;kg;10;;;;0;;;29m
2023-01-02 12:34:43;"Midday Workout";"Lateral Raise (Dumbbell)";9;2.5;kg;10;;;;0;;;29m
2023-01-02 12:34:43;"Midday Workout";"Lateral Raise (Dumbbell)";10;2.5;kg;10;;;;0;;;29m
2023-01-02 13:41:30;"Midday Workout";"Lateral Raise (Dumbbell)";11;2.5;kg;10;;;;0;"";"";18m
2023-01-02 13:41:30;"Midday Workout";"Lateral Raise (Dumbbell)";12;2.5;kg;10;;;;0;;;18m
2023-01-02 13:41:30;"Midday Workout";"Lateral Raise (Dumbbell)";13;2.5;kg;10;;;;0;;;18m
2023-01-02 13:41:30;"Midday Workout";"Lateral Raise (Dumbbell)";14;2.5;kg;10;;;;0;;;18m
2023-01-02 13:41:30;"Midday Workout";"Lateral Raise (Dumbbell)";15;2.5;kg;10;;;;0;;;18m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";1;3;kg;10;;;;0;"";"";54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";2;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";3;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";4;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";5;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";6;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";7;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";8;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";9;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";10;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";11;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";12;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";13;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";14;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";15;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";16;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";17;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";18;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";19;3;kg;10;;;;0;;;54m
2023-01-03 15:35:09;"Afternoon Workout";"Lateral Raise (Dumbbell)";20;3;kg;10;;;;0;;;54m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";1;3;kg;10;;;;0;"";"";41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";2;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";3;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";4;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";5;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";6;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";7;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";8;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";9;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";10;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";11;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";12;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";13;3;kg;10;;;;0;;;41m
2023-01-04 10:32:18;"3kg Lats";"Lateral Raise (Dumbbell)";14;3;kg;10;;;;0;;;41m
