"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Pull Up (Weighted)",,"",0,"normal",,3,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Pull Up (Weighted)",,"",1,"normal",,3,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Pull Up (Weighted)",,"",2,"normal",,2,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Iso-Lateral Row (Machine)",,"",0,"normal",20,14,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Iso-Lateral Row (Machine)",,"",1,"normal",22.5,17,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Iso-Lateral Row (Machine)",,"",2,"normal",23.75,10,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Straight Arm Lat Pulldown (Cable)",,"",0,"normal",45.5,11,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Straight Arm Lat Pulldown (Cable)",,"",1,"normal",45.5,11,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Straight Arm Lat Pulldown (Cable)",,"",2,"normal",40.9,8,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",90.9,4,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Single Arm Curl (Cable)",,"",0,"normal",22.7,10,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Single Arm Curl (Cable)",,"",1,"normal",22.7,12,,,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Dead Hang",,"",0,"normal",,,,40,
"Back and Bis","30 Oct 2024, 09:22","30 Oct 2024, 10:58","","Dead Hang",,"",1,"normal",,,,45,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Bench Press (Barbell)",,"",0,"normal",80,3,,,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Bench Press (Barbell)",,"",1,"normal",80,4,,,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Bench Press (Barbell)",,"",2,"normal",80,4,,,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Triceps Dip (Weighted)",,"",0,"normal",15,4,,,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Triceps Dip (Weighted)",,"",1,"normal",,4,,,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Lateral Raise (Cable)",,"",0,"normal",18.2,8,,,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Lateral Raise (Cable)",,"",1,"normal",18.2,6,,,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Lateral Raise (Cable)",,"",2,"normal",18.2,5,,,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Lateral Raise (Cable)",,"",3,"normal",10.9,9,,,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Triceps Rope Pushdown",,"",0,"normal",50,10,,,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Triceps Rope Pushdown",,"",1,"normal",55,6,,,
"Chest and tris","28 Oct 2024, 14:37","28 Oct 2024, 15:47","","Triceps Rope Pushdown",,"",2,"normal",50,8,,,
"Back","25 Oct 2024, 20:50","25 Oct 2024, 22:06","","Pull Up (Weighted)",,"",0,"normal",,4,,,
"Back","25 Oct 2024, 20:50","25 Oct 2024, 22:06","","Pull Up (Weighted)",,"",1,"normal",,3,,,
"Back","25 Oct 2024, 20:50","25 Oct 2024, 22:06","","Pull Up (Weighted)",,"",2,"normal",,3,,,
"Back","25 Oct 2024, 20:50","25 Oct 2024, 22:06","","Flexion Row (Cable)",,"",0,"normal",40.9,10,,,
"Back","25 Oct 2024, 20:50","25 Oct 2024, 22:06","","Flexion Row (Cable)",,"",1,"normal",50,12,,,
"Back","25 Oct 2024, 20:50","25 Oct 2024, 22:06","","Flexion Row (Cable)",,"",2,"normal",59.1,9,,,
"Back","25 Oct 2024, 20:50","25 Oct 2024, 22:06","","Straight Arm Lat Pulldown (Cable)",,"",0,"normal",45.5,11,,,
"Back","25 Oct 2024, 20:50","25 Oct 2024, 22:06","","Straight Arm Lat Pulldown (Cable)",,"",1,"normal",45.5,10,,,
"Back","25 Oct 2024, 20:50","25 Oct 2024, 22:06","","Straight Arm Lat Pulldown (Cable)",,"",2,"normal",45.5,9,,,
"Chest and Tricep","23 Oct 2024, 19:37","23 Oct 2024, 21:14","","Bench Press (Barbell)",,"",0,"normal",75,5,,,
"Chest and Tricep","23 Oct 2024, 19:37","23 Oct 2024, 21:14","","Bench Press (Barbell)",,"",1,"failure",77.5,4,,,
"Chest and Tricep","23 Oct 2024, 19:37","23 Oct 2024, 21:14","","Bench Press (Barbell)",,"",2,"failure",80,3,,,
"Chest and Tricep","23 Oct 2024, 19:37","23 Oct 2024, 21:14","","Triceps Dip (Weighted)",,"",0,"normal",15,4,,,
"Chest and Tricep","23 Oct 2024, 19:37","23 Oct 2024, 21:14","","Triceps Dip (Weighted)",,"",1,"normal",15,4,,,
